iso3c,year,E_total,E_efpv,region,subregion,income_group,SEI,SIDS,lf_part_pct,GreenPotShare,GreenPotSharew,country,gdp_const,gdppc_const,gov_exp_pctgdp,lf_participation,exports_const,imports_const,access_electricity,va_agriculture,va_industry,va_services,adj_savings,gdppc_growth,educ_secondary_complete,pop_0_14_pct,pop_65plus_pct,age_dependency_ratio,urban_pop_pct,fuel_exports_pct_exports,nat_resource_rents_pctgdp,gross_capital_const,gross_capital_pctgdp,hc,rnna,democracy,PR,CL,vulnerability,dge,mimic,gini,va_complete,va_total,hhi_va,open_pct,ays,self_emp_pct,gross_savings_pct,DeltaY,deltalnK,DeltaLnL,DeltaLnGDPpc,LnGDPpc
USA,2005,141729.642,96167.84699999995,2,9,1,1,1,65.049,0.6785302329346176,0.4413771312216394,United States of America,15558822251000,52649.5713054684,20.7451064662954,65.049,1458019553000,2205194617000,100,NA,NA,NA,5.40876105645498,2.53411070718666,85.1900024414062,20.3453590636092,12.1307281353119,48.0956829396105,79.928,3.31136445717427,1.49664347432686,3404075616000,23.3757186121201,3.627622365951538,56048848,7,7,7,0.307140184617242,8.489341735839844,8.698676109313965,0.383,FALSE,NA,NA,23.54428960562588,12.82981,7.46970539439167,17.7012740891943,0.03424247628773003,0.054643283642864304,7.38177657510164e-4,0.02502534461611816,10.871413375182692
GTM,2006,4936.788,1835.75,2,5,4,1,1,62.236,0.37185109022303575,0.23142524451120855,Guatemala,45290955325.2902,3388.14993375257,13.2246497707628,62.236,8888447708.84417,14845281634.4828,83.7,4655390454.94266,11315807235.9955,26818444091.6316,4.83977730815347,3.14600619827499,17.2299995422363,41.5615653491649,3.79306956516828,82.9981312024304,47.21,8.78466264407755,1.93392564321639,10182208523.8002,21.1650083094562,1.647152304649353,296839.6875,4.5,5,4,0.471215846630504,48.23560333251953,50.43257141113281,0.482,TRUE,42789641782.56976,0.4745883081245598,52.402801338293244,3.653,48.3596233164354,2.29586509018505,NA,NA,NA,NA,8.128039309147109
IRN,2006,20201.691,11791.447999999999,3,13,4,1,1,45.293,0.5836861874582677,0.2643689848854732,Iran Islamic Republic of,350728779278.205,4778.79345868067,20.7178833949627,45.293,78608738428.5661,161779668284.145,98.4,34718035926.3637,140437271264.587,185108620936.419,NA,2.76183107731909,43.3499984741211,25.3087481519121,4.74588721961858,42.9687321027924,68.239,83.2838200199219,34.7791285091133,181808082066.201,38.6491173624239,1.9446853399276731,4624725,2,2,2,0.35836441885558,17.411331176757812,17.818092346191406,0.408,TRUE,360263928127.36975,0.425249472900342,68.53968676520562,9.86979,47.389284059022,46.097479384167,0.04878821435190517,0.04876458213362156,-0.01807251743617444,0.027243805064463444,8.471943379121647
MEX,2006,43378.461,24036.408,2,5,4,1,1,60.875,0.554109284789979,0.33731402711589975,Mexico,1052569035045.56,9813.8280424425,NA,60.875,267522534991.905,316351635750.317,99.1,31904374985.377,348229015238.97,601145415821.948,7.80410671613983,3.39577677542312,25.7199993133545,31.5812288019191,5.79085663044309,59.6732082754969,76.616,15.4567464150127,6.1411361184755,236030561754.346,22.5641029454858,2.53621244430542,7573718,5.5,6,5,0.377032951739178,28.978452682495117,30.0709228515625,0.465,TRUE,981278806046.2949,0.5022879645258194,55.47134214497857,7.8716,34.7333132397384,20.8335763216609,0.046931423757168744,0.0901646575691295,0.01248001651797992,0.03339393168754334,9.191547694837743
TUR,2006,20423.095,10014.976000000002,3,16,4,1,1,46.272,0.49037503865109583,0.22690633788463505,Turkey,561984411360.158,8023.15099265417,NA,46.272,129752386222.262,163134174031.001,99.7,45438024076.333,148088906933.68,304762758811.614,10.4626341503343,5.85508876576858,23.2000007629395,27.5032455937707,6.7938571710603,52.2002887151974,68.45,4.16931750474639,0.338060205831875,NA,29.3486961558137,2.125199794769287,4090179.5,5,5,5,0.378876816295957,29.720104217529297,31.94656562805176,0.409,TRUE,498289689821.627,0.47071588317462226,52.11649190489046,6.06121,41.0949333186942,25.3754929697714,0.06717243763565861,NA,-0.0034303130624326883,0.05690088569245688,8.990086515550907
USA,2006,144427.075,97813.493,2,9,1,1,1,65.175,0.6772517756798716,0.44139884479935626,United States of America,15992063824000,53596.3152372,20.5951410085264,65.175,1596179861000,2346773732000,100,NA,NA,NA,6.78009151293188,1.79819874740998,85.75,20.1585030857082,12.1840000918956,47.8032811357291,80.099,3.7372185207955,1.13066389011262,3508550056000,23.5375300484967,3.642328977584839,57539832,7,7,7,0.306925597020129,8.449299812316895,8.605064392089844,0.386,FALSE,NA,NA,24.655689449429502,12.9123,7.40244372500739,17.8450232610524,0.027464763109847468,0.03022943834368874,0.0019351277693751001,0.01782222393848798,10.88923559912118
VUT,2006,82.52,8.876,5,6,3,2,2,76.869,0.10756180319922443,0.08268168250121183,Vanuatu,595154794.341854,2756.32885029318,NA,76.869,215638173.750955,259541982.571849,26.4,147514361.212614,49463798.5220463,350481307.154259,22.2503003957988,5.86726101068508,NA,39.6297762865089,2.92511005055031,74.079508533744,23.392,0.00186384167853004,0.65556136825846,138055245.71873,28.547036678941,NA,NA,6,6,6,0.601784361536245,NA,NA,0.396,TRUE,547459466.8889194,0.4906188794917412,79.84143971288633,5.667716,75.4087156510702,22.8960523338339,NA,NA,NA,NA,7.9216549466020805
IRN,2007,20521.674,11973.342,3,13,4,1,1,44.433,0.5834486017076386,0.25924371719675504,Iran Islamic Republic of,379333424180.106,5084.71796041484,16.8257698113683,44.433,78465435682.2767,171206074132.566,98.7,35489260978.1602,147636110850.106,201965473769.308,NA,6.40171006299634,NA,24.568496044326,4.82830988002135,41.6366525331215,68.864,NA,29.1825071901049,205436506064.536,39.7289451376198,1.9875718355178833,4821833,2,2,2,0.358685773352219,17.300212860107422,16.985942840576172,0.404,TRUE,385090845597.5742,0.430533591571879,65.81848418827961,9.63065,47.1596670625256,49.0976623224301,0.07840234934516488,0.1221853767074208,-0.019170058549452307,0.06205146281094187,8.53399484193259
KHM,2007,7056.086,2038.946,3,12,3,1,1,81.226,0.2889627479030159,0.2347128816117037,Cambodia,14260222987.8994,1030.23117620792,6.99568359728898,81.226,5596639443.83582,6208739635.07868,20.2,3829587618.37526,3866460083.68595,5721323970.95452,13.8724877176993,8.78143916559131,6.42000007629395,35.5854923178177,3.56121001866091,64.3296339360911,19.413,NA,2.24551946036928,3342221027.59558,25.6914602814207,1.653018355369568,58775.44140625,2.5,2,3,0.531976654873701,46.003177642822266,47.79996871948242,0.362,TRUE,13417371673.01573,0.3463324767986218,82.7853750178523,3.9253,68.4026080792733,15.1500719612504,NA,NA,NA,NA,6.937538498960448
MEX,2007,44231.248,24526.614999999998,2,5,4,1,1,60.921,0.5545087717172258,0.33781228881785114,Mexico,1074439987409.3,9877.69532644737,NA,60.921,274262767664.408,334518200662.839,97.9,33297220298.3164,352214441353.885,618244257979.675,7.79863608897362,0.650788700685027,30.2099990844727,31.1034912087738,5.88011090113516,58.6888542638054,76.92,15.6710828967322,5.75685331700591,251961151097.864,23.071914687527,2.556516170501709,7800340.5,5.5,6,5,0.375676271109029,28.801193237304688,29.9824161529541,0.467,TRUE,1003755919631.8765,0.503599616484656,56.660304480582994,7.88247,34.430019990957,20.7291427362647,0.02056570798179891,0.06531361771669353,7.553614599364877e-4,0.006486802139386683,9.19803449697713
